"18. Blok IV (Tanpang, Horti, & Kebun): outlier volume produksi","/*Cek outlier volume produksi per kabupaten per komoditas.*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art, t1.status_dok, t1.b2r202, t1.b3r301, 
        t1.b4r402, t1.b4r403, t1.b4r416,
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok4 AS t1
LEFT JOIN(
    SELECT kab,
            b4r403,
                 (CASE 
"
"19. Blok IV (Tanpang, Horti, & Kebun): outlier nilai produksi","/*Cek outlier nilai produksi per kabupaten per komoditas.*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art, t1.status_dok, t1.b2r202, t1.b3r301, 
        t1.b4r402, t1.b4r403, t1.b4r417,
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM  view_L2_Blok4 AS t1
LEFT JOIN(
    SELECT kab,
            b4r403,
                 (CASE 
"
"20. Blok IV (Tanpang, Horti, & Kebun): outlier nilai produksi ikutan","/*Cek outlier nilai produksi ikutan per kabupaten per komoditas.*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art, t1.status_dok, t1.b2r202, t1.b3r301, 
        t1.b4r402, t1.b4r403, t1.b4r418,
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok4 AS t1
LEFT JOIN(
    SELECT kab,
            b4r403,
                 (CASE 
"
"21. Blok IV (Tanpang, Horti, & Kebun): outlier produktivitas","/*Cek outlier produktivitas (r416/r412) per kabupaten per komoditas.*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art,t1.b2r202, t1.b3r301, 
        t1.b4r402, t1.b4r403, b4r412, b4r416,
        t1.b4r416/t1.b4r412 AS produktivitas_r416perr412,
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok4 AS t1
LEFT JOIN(
    SELECT kab,
            b4r403,
"
"22. Blok IV (Tanpang, Horti, & Kebun): outlier harga","/*Cek outlier harga (r417/r416) per kabupaten per komoditas.*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art,t1.status_dok,t1.b2r202, t1.b3r301, 
        t1.b4r402, t1.b4r403, t1.b4r416, t1.b4r417, 
        t1.b4r417/t1.b4r416 AS hargapersatuan_r417perr416,
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok4 AS t1
LEFT JOIN(
    SELECT kab,
            b4r403,
"
23. Blok V (Horti): anomali nama komoditas campuran (tidak sesuai ST KODE),"/*Nama komoditas yang terisi lebih dari 1 jenis pada baris yang sama (terdapat tanda koma, 'dan', '&')*/
select * from view_L2_Blok5
where
    b5r502 like '%,%' or
    b5r502 like '% dan %' or
    b5r502 like '%&%'
"
24. Blok V (Horti): anomali komoditas pisang,"/*Nama komoditas pisang yang sudah ada pada ST2023-Kode tapi terisi kode lainnya*/
select * from view_L2_Blok5
where
    b5r503 = '2157' and (
    b5r502 like '%kepok%' or
    b5r502 like '%mas%' or
    b5r502 like '%ambon%' or
    b5r502 like '%lampung%')
"
25. Blok V (Horti): anomali komoditas jeruk,"/*Nama komoditas jeruk yang sudah ada pada ST2023-Kode tapi terisi kode lainnya*/
select * from view_L2_Blok5
where
    b5r503 = '2128' and (
    b5r502 like '%siam%' or
    b5r502 like '%keprok%' or
    b5r502 like '%besar%' or
    b5r502 like '%manis%')
"
26. Blok V (Horti): Komoditas semusim yang masuk di blok 5 (tahunan),"/*Komoditas semusim yang masuk di blok 5 (tahunan)*/
SELECT prov, kab, kec, desa, b1r105, b1r106, b1r107, b1r108, id, id_art, device, id_ruta, status_dok, b5r501, b5r502, b5r503
FROM view_L2_Blok5
where (b5r503 like '2%99') and 
(
(b5r502 like '%BLEWAH%') or
(b5r502 like '%MELON%LAINNYA%') or
(b5r502 like '%ROCK%MELON/MELON%BERJARING%') or
(b5r502 like '%GOLDEN%MELON/MELON%TIDAK%BERJARING%') or
(b5r502 like '%MENTIMUN%SURI%') or
(b5r502 like '%SEMANGKA%') or
(b5r502 like '%STROBERI%') or
"
27. Blok V (Horti): anomali deskripsi tanaman tidak spesifik dan ada di ST-KODE,"/*Deskripsi tanaman lainnya tidak spesifik dan tanaman/komoditas ada di ST2023-kode.*/
SELECT prov, kab, kec, desa, b1r105, b1r106, b1r107, b1r108, id, id_art, device, id_ruta, status_dok, b5r501, b5r502, b5r503
FROM view_L2_Blok5
where (b5r503 like '2%99') and 
(
(b5r502 like '%ALPUKAT%') or
(b5r502 like '%ANGGUR%') or
(b5r502 like '%APEL%') or
(b5r502 like '%BELIMBING%DEWA/DEWI%') or
(b5r502 like '%BELIMBING%DEMAK%KUNIR%') or
(b5r502 like '%BELIMBING%KARANG%SARI%') or
(b5r502 like '%BELIMBING%LAINNYA%') or
"
28. Blok V (Horti): anomali nama komoditas bukan merupakan komoditas horti,"/*Kode komodiitas hortikultura lainnya namun nama komoditas bukan merupakan komoditas hortikultura.*/
SELECT prov, kab, kec, desa, b1r105, b1r106, b1r107, b1r108, id, id_art, device, id_ruta, status_dok, b5r501, b5r502, b5r503
FROM view_L2_Blok5
where (b5r503 like '2%99') and 
(
(b5r502 like '%PADI%LADANG%') or
(b5r502 like '%PADI%SAWAH%HIBRIDA%') or
(b5r502 like '%PADI%SAWAH%INBRIDA%') or
(b5r502 like '%JAGUNG%HIBRIDA%') or
(b5r502 like '%JAGUNG%KOMPOSIT%') or
(b5r502 like '%JAGUNG%LOKAL%') or
(b5r502 like '%KEDELAI%') or
"
29. Blok V (Kebun): anomali kode komoditas lainnya,"/*Cek kode tanaman lainnya (r503 = 3199) dan isian r502. Pastikan jika r503 = 3199, r502 bersesuaian tidak terisi selain jenis tanaman perkebunan tahunan, termasuk tanaman perkebunan tahunan yang sudah tersedia kodenya di ST2023-Kode*/
SELECT prov, kab, kec, desa, b1r105,b1r106,b1r107,b1r108, id, id_ruta, id_art, b5r502, b5r503, status_dok
FROM view_L2_Blok5 
WHERE ((b5r503  LIKE '3%' and b5r503  LIKE '%99'))

"
30. Blok V (Kebun): kode komoditas sawit,"/*Kode komoditas berkode kelapa sawit tapi isian nama komoditas tidak terkandung kata sawit*/
SELECT prov, kab, kec, desa, b1r105,b1r106,b1r107,b1r108, id, id_ruta, id_art, status_dok, b5r502, b5r503 
FROM view_L2_Blok5 
WHERE ((b5r503 = '3111' and b5r502  NOT LIKE '%sawit%'))
"
31. Blok V (Kebun): kode komoditas karet,"/*Kode komoditas berkode karet tapi isian nama komoditas tidak terkandung kata  karet*/
SELECT prov, kab, kec, desa, b1r105,b1r106,b1r107,b1r108, id, id_ruta, id_art, status_dok, b5r502, b5r503 
FROM view_L2_Blok5 
WHERE ((b5r503 = '3109' and b5r502  NOT LIKE '%karet%'))
"
32. Blok V (Kebun): kode komoditas kopi,"/*Kode komoditas berkode kopi tapi isian nama komoditas tidak terkandung kata kopi*/
SELECT prov, kab, kec, desa, b1r105,b1r106,b1r107,b1r108, id, id_ruta, id_art, status_dok, b5r502, b5r503 
FROM view_L2_Blok5 
WHERE ((b5r503 = '3119' and b5r502  NOT LIKE '%kopi%'))
"
33. Blok V (Kebun): kode komoditas kakao,"/*Cek outlier volume produksi (r513) per komoditas*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art,t1.status_dok,t1.b2r202, t1.b3r301, 
        t1.b5r502, t1.b5r503, t1.b5r508, t1.b5r513, t1.b5r514, 
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok5 AS t1
LEFT JOIN(
    SELECT prov,
            b5r503,
                 (CASE 
"
34. Blok V (Kebun): outlier produktivitas per pohon,"/*Cek outlier produktivitas per pohon (r513/r508) per komoditas*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art,t1.status_dok,t1.b2r202, t1.b3r301, 
        t1.b5r502, t1.b5r503, t1.b5r508, t1.b5r513, t1.b5r514,
        t1.b5r513/t1.b5r508 AS provitasr513perr508,
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok5 AS t1
LEFT JOIN(
    SELECT prov,
            b5r503,
"
35. Blok V (Horti & Kebun): outlier volume produksi,"/*Cek outlier volume produksi (r513) per komoditas*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art,t1.status_dok,t1.b2r202, t1.b3r301, 
        t1.b5r502, t1.b5r503, t1.b5r508, t1.b5r513, t1.b5r514, 
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok5 AS t1
LEFT JOIN(
    SELECT prov,
            b5r503,
                 (CASE 
"
36. Blok V (Horti & Kebun): nilai produksi,"/*Cek outlier nilai produksi (r514) per komoditas*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art,t1.status_dok,t1.b2r202, t1.b3r301, 
        t1.b5r502, t1.b5r503, t1.b5r508, t1.b5r513, t1.b5r514, 
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok5 AS t1
LEFT JOIN(
    SELECT prov,
            b5r503,
                 (CASE 
"
37. Blok V (Horti & Kebun): outlier harga per satuan,"/*Cek outlier harga per satuan produksi per komoditas*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art,t1.status_dok,t1.b2r202, t1.b3r301, 
        t1.b5r502, t1.b5r503, t1.b5r508, t1.b5r513, t1.b5r514, 
        t1.b5r514/t1.b5r513 AS hargapersatuan_r514perr513,
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok5 AS t1
LEFT JOIN(
    SELECT prov,
            b5r503,
"
38. Blok V (Horti & Kebun): outlier nilai ijon,"/*Cek outlier nilai ijon (r516) per komoditas*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art,t1.status_dok,t1.b2r202, t1.b3r301, 
        t1.b5r502, t1.b5r503, t1.b5r516, 
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok5 AS t1
LEFT JOIN(
    SELECT prov,
            b5r503,
                 (CASE 
"
39. Blok V (Horti & Kebun): outlier nilai produksi ikutan,"/*Cek outlier nilai produksi ikutan (r515) per komoditas*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art,t1.status_dok,t1.b2r202, t1.b3r301, 
        t1.b5r502, t1.b5r503, t1.b5r515, 
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok5 AS t1
LEFT JOIN(
    SELECT prov,
            b5r503,
                 (CASE 
"
40. Blok V (Horti & Kebun): outlier nilai produksi bibit,"/*Cek outlier nilai produksi bibit (r517) per komoditas*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art,t1.status_dok,t1.b2r202, t1.b3r301, 
        t1.b5r502, t1.b5r503, t1.b5r517, 
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok5 AS t1
LEFT JOIN(
    SELECT prov,
            b5r503,
                 (CASE 
"
"41. Blok VI: Pengecekan Ternak Lainnya yang terisi isian ""Lainnya""","/*Jika R603 terisi kode 4499 dan keterangan pada R602 terisi Lainnya maka perbaiki isian sesuai ST2023-KODE.*/
/*Pengecekan Ternak Lainnya yang terisi isian ""Lainnya""*/
/*Sebagian nama komoditas dituliskan pada catatan, bukan di R602*/
/*Perbaiki R602 dan R603 sesuai ST2023-Kode, isian Ternak Lainnya Tidak Boleh Terisi ""Lainnya""*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b11_catatan, 'Perbaiki R602 dan R603 sesuai ST2023-Kode, isian Ternak Lainnya Tidak Boleh Terisi ""Lainnya""' as Keterangan    
FROM view_L2_Blok6 
WHERE ((b6r603 = '4499') and 
(
UPPER(b6r602) like UPPER('%lain%')
))
ORDER by prov, kab, kec, desa, id_ruta, b3r301 asc
"
42. Blok VI: Pengecekan Ternak Lainnya yang Sudah Ada di ST2023-Kode,"/*Jika R603 terisi kode 4499 dan keterangan pada R602 merupakan komoditas yang sudah ada pada ST2023-KODE maka perbaiki sesuai ST2023-KODE.*/
/*Pengecekan Ternak Lainnya yang Sudah Ada di ST2023-Kode*/
/*Perbaiki r602 dan r603 menjadi komoditas yang sudah ada pada ST2023-KODE*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b11_catatan, 'Perbaiki r602 dan r603 menjadi komoditas yang sudah ada pada ST2023-KODE' as Keterangan    
FROM view_L2_Blok6 
WHERE ((b6r603 = '4499') and 
(
UPPER(b6r602) like UPPER('%kerbau%potong%') OR 
UPPER(b6r602) like UPPER('%kerbau%perah%') OR 
UPPER(b6r602) like UPPER('%sapi%potong%') OR
UPPER(b6r602) like UPPER('%sapi%perah%') OR
"
43. Blok VI: Pengecekan Ternak Lainnya yang Merupakan Unggas Non Pangan,"/*Jika R603 terisi kode 4499 dan keterangan pada R602 merupakan unggas non pangan (seperti burung kicau) perbaiki kode menjadi 4498.*/
/*Pengecekan Ternak Lainnya yang Merupakan Unggas Non Pangan*/
/*Perbaiki r602 dan r603 menjadi Unggas Non Pangan (4498)*/
/*Jika dalam 1 UTP tercatat unggas non pangan di lebih dari 1 baris, maka digabung menjadi 1 baris sebagai unggas non pangan, jumlah ternaknya digabungkan*/
/*Jika r602 tercakup komoditas selain unggas non pangan (karena typo/salah tulis/tidak sengaja tercakup dalam query), maka lakukan prosedur perbaikan lain sebagaimana mestinya.*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b11_catatan, 'Perbaiki r602 dan r603 menjadi Unggas Non Pangan (4498). Jika dalam 1 UTP tercatat unggas non pangan di lebih dari 1 baris, maka digabung 
    menjadi 1 baris sebagai unggas non pangan, jumlah ternaknya digabungkan. Jika r602 tercakup komoditas selain unggas non pangan (karena typo/salah tulis/tidak sengaja tercakup dalam query), maka lakukan prosedur perbaikan lain 
    sebagaimana mestinya.' as Keterangan    
FROM view_L2_Blok6 
WHERE ((b6r603 = '4499') and 
(
"
44. Blok VI: Pengecekan Ternak Lainnya yang Merupakan Ayam Lokal Lainnya,"/*Jika R603 terisi kode 4499 dan keterangan pada R602 merupakan ayam lokal lainnya (seperti ayam bangkok, ayam kate, dll) maka perbaiki kode menjadi 4402.*/
/*Pengecekan Ternak Lainnya yang Merupakan Ayam Lokal Lainnya*/
/*Perbaiki r602 dan r603 menjadi Ayam Lokal Lainnya (4402)*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b11_catatan, 'Perbaiki r602 dan r603 menjadi Ayam Lokal Lainnya (4402)' as Keterangan    
FROM view_L2_Blok6 
WHERE ((b6r603 = '4499') and 
(
UPPER(b6r602) like UPPER('%ayam%bangkok%') OR
UPPER(b6r602) like UPPER('%ayam%kate%') OR
UPPER(b6r602) like UPPER('%ayam%cemani%') OR
UPPER(b6r602) like UPPER('%ayam%hutan%') OR
"
45. Blok VI: Pengecekan Ternak Lainnya yang Terisi Ayam Kampung,"/*Jika R603 terisi kode 4499 dan keterangan pada R602 tertulis ayam kampung, maka perlu konfirmasi apakah ayam kampung biasa (4301) atau ayam lokal lainnya (4402).*/
/*Pengecekan Ternak Lainnya yang Terisi Ayam Kampung*/
/*Perlu konfirmasi, Kemungkinan r602 dan r603 menjadi Ayam Kampung Biasa (4301) atau Ayam Lokal Lainnya (4402)*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b11_catatan, 'Perlu konfirmasi, Kemungkinan r602 dan r603 menjadi Ayam Kampung Biasa (4301) atau Ayam Lokal Lainnya (4402)' as Keterangan    
FROM view_L2_Blok6 
WHERE ((b6r603 = '4499') and 
(
UPPER(b6r602) like UPPER('%ayam%kampung%') 
))
ORDER by prov, kab, kec, desa, id_ruta, b3r301 asc

"
46. Blok VI: Pengecekan Ternak Lainnya yang Bukan Merupakan Komoditas Peternakan,"/*Jika R603 terisi kode 4499 dan keterangan pada R602 bukan merupakan komoditas peternakan sesuai ST2023-KODE (seperti ternak lele) maka bukan termasuk komoditas peternakan.*/
/*Pengecekan Ternak Lainnya yang Bukan Merupakan Komoditas Peternakan*/
/*Komoditas pada r602 bukan komoditas peternakan.*/
/*Jika r602 tercakup komoditas peternakan (karena typo/salah tulis/tidak sengaja tercakup dalam query, maka lakukan prosedur perbaikan lain sebagaimana mestinya.*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b11_catatan, 'Komoditas pada r602 bukan komoditas peternakan. Jika r602 tercakup komoditas peternakan (karena typo/salah tulis/tidak sengaja tercakup 
    dalam query), maka lakukan prosedur perbaikan lain sebagaimana mestinya.' as Keterangan    
FROM view_L2_Blok6 
WHERE ((b6r603 = '4499') and 
(
UPPER(b6r602) like UPPER('%ikan%') OR
UPPER(b6r602) like UPPER('%lobster%') OR
"
